Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
28.0,4.6,Stormy,Jam,1,scooter,1.0,No,Metropolitian,22
37.0,4.9,Fog,Low,1,scooter,1.0,No,Urban,16
23.0,4.9,Sunny,Jam,2,electric_scooter,0.0,No,Metropolitian,11
27.0,4.9,Windy,Medium,1,scooter,1.0,No,Metropolitian,25
37.0,4.8,Cloudy,Medium,0,motorcycle,1.0,No,Urban,26
33.0,5.0,Sunny,High,2,scooter,1.0,No,Metropolitian,18
31.0,4.9,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,16
31.0,4.8,Stormy,Low,2,scooter,1.0,No,Metropolitian,23
25.0,5.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,15
28.0,4.8,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,36
31.0,4.7,Cloudy,Low,2,motorcycle,0.0,No,Metropolitian,16
24.0,4.7,Sunny,Medium,0,motorcycle,0.0,No,Urban,19
39.0,4.6,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,27
39.0,4.2,Fog,Jam,2,scooter,1.0,No,Semi-Urban,49
32.0,4.5,Windy,Low,2,scooter,0.0,No,,20
36.0,4.7,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,30
25.0,4.8,Sandstorms,Low,1,scooter,0.0,No,Urban,18
33.0,4.9,Sunny,Jam,2,scooter,0.0,No,Metropolitian,22
30.0,4.4,Cloudy,Low,2,scooter,1.0,No,Metropolitian,34
33.0,5.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,24
36.0,4.9,Fog,Medium,2,scooter,1.0,No,Metropolitian,17
21.0,4.8,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,14
39.0,4.9,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,30
23.0,4.8,Stormy,Low,1,scooter,1.0,No,Metropolitian,15
35.0,4.8,Fog,Medium,2,scooter,1.0,No,Urban,16
39.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,36
22.0,4.7,Sunny,High,1,scooter,1.0,No,Urban,18
32.0,4.6,Fog,Medium,1,scooter,0.0,No,Metropolitian,17
24.0,4.8,Sandstorms,Low,1,motorcycle,1.0,No,Urban,15
29.0,4.7,Fog,Low,0,motorcycle,1.0,No,Metropolitian,17
,,,,1,scooter,0.0,No,Metropolitian,19
26.0,4.7,Fog,Low,1,motorcycle,0.0,No,Metropolitian,10
20.0,4.5,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,27
35.0,4.1,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,37
39.0,4.6,Fog,Jam,1,scooter,2.0,No,Metropolitian,44
34.0,4.7,Windy,High,2,electric_scooter,1.0,No,Metropolitian,28
27.0,4.7,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,42
30.0,4.8,Windy,Low,1,motorcycle,1.0,No,Metropolitian,25
25.0,4.4,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,39
25.0,4.7,Stormy,Medium,0,motorcycle,0.0,No,Urban,20
30.0,5.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,31
24.0,4.6,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,13
39.0,4.8,Stormy,Jam,1,motorcycle,,No,Metropolitian,28
25.0,4.8,Windy,High,1,scooter,1.0,No,Urban,19
37.0,4.6,Fog,Low,0,motorcycle,2.0,Yes,Urban,42
24.0,5.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
25.0,4.2,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,39
32.0,4.6,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,25
34.0,4.7,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,15
38.0,4.9,Cloudy,Low,2,scooter,1.0,No,Urban,15
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,15
25.0,5.0,Stormy,Jam,1,motorcycle,,No,Metropolitian,15
29.0,5.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,18
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,29
33.0,4.7,Fog,Low,0,motorcycle,0.0,No,Metropolitian,20
36.0,4.4,Cloudy,High,2,scooter,1.0,No,Metropolitian,39
21.0,4.8,Windy,Low,0,motorcycle,0.0,No,Metropolitian,19
25.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,19
23.0,4.8,Windy,Low,0,motorcycle,0.0,No,Metropolitian,17
25.0,4.6,Stormy,Low,2,motorcycle,1.0,No,Urban,15
24.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Urban,19
27.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,29
23.0,4.8,Cloudy,Low,2,scooter,1.0,No,Urban,22
21.0,4.3,Fog,Jam,1,scooter,0.0,No,Metropolitian,42
27.0,4.7,Sandstorms,Low,2,scooter,0.0,No,Urban,12
32.0,4.2,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,38
25.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,23
39.0,4.7,Cloudy,Low,1,scooter,0.0,No,Metropolitian,15
27.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,24
39.0,3.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,37
31.0,4.8,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,24
31.0,4.8,Sunny,Low,2,electric_scooter,0.0,No,Metropolitian,13
20.0,4.8,Cloudy,Low,0,motorcycle,0.0,No,,16
36.0,4.9,Cloudy,Medium,0,motorcycle,1.0,No,Urban,42
20.0,4.9,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,17
24.0,4.6,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25
,,,,3,electric_scooter,0.0,No,Metropolitian,25
39.0,4.2,Fog,Medium,1,scooter,0.0,No,Metropolitian,39
37.0,4.8,Sunny,High,2,scooter,0.0,No,Metropolitian,18
32.0,4.9,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,28
22.0,4.5,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,18
23.0,4.9,Windy,Low,1,scooter,0.0,No,Metropolitian,18
33.0,4.7,Fog,Jam,1,scooter,1.0,No,Metropolitian,49
23.0,,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,15
27.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,21
34.0,4.7,Sunny,High,2,scooter,0.0,No,Metropolitian,23
26.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,11
31.0,4.6,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25
32.0,4.9,Fog,Low,2,motorcycle,0.0,No,Metropolitian,18
27.0,4.7,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,14
21.0,4.9,Windy,Medium,0,motorcycle,2.0,No,Metropolitian,36
28.0,4.8,Fog,Low,1,motorcycle,,No,Metropolitian,18
24.0,4.9,Fog,Medium,1,scooter,1.0,No,Urban,17
33.0,4.4,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,28
20.0,4.6,Fog,Jam,0,motorcycle,0.0,Yes,Metropolitian,44
31.0,4.3,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20
,,Stormy,Low,2,scooter,0.0,No,,19
36.0,5.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,35
31.0,4.2,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,50
39.0,4.1,Stormy,Jam,1,scooter,1.0,No,Metropolitian,34
29.0,4.6,Sunny,Jam,2,electric_scooter,,No,Metropolitian,17
29.0,4.6,Sandstorms,High,1,scooter,0.0,No,Urban,23
37.0,4.9,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,27
33.0,4.7,Cloudy,High,0,motorcycle,0.0,No,Urban,26
31.0,3.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,35
37.0,4.6,Windy,High,0,motorcycle,1.0,No,Urban,41
26.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,,23
24.0,4.6,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,30
23.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,19
36.0,4.9,Windy,Low,1,scooter,1.0,No,Metropolitian,27
39.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,28
20.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,24
20.0,5.0,Cloudy,Jam,0,motorcycle,1.0,No,Urban,36
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,28
36.0,4.8,Fog,Medium,2,motorcycle,1.0,No,Urban,31
36.0,4.0,Sunny,Jam,0,motorcycle,3.0,No,Metropolitian,44
22.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,15
38.0,4.4,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,33
39.0,4.9,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,30
24.0,4.9,Stormy,Medium,1,scooter,1.0,No,Metropolitian,22
30.0,4.1,Fog,Low,0,motorcycle,0.0,No,Metropolitian,43
35.0,4.8,Fog,Medium,0,motorcycle,3.0,No,Metropolitian,48
33.0,4.5,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,19
39.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Urban,21
31.0,4.3,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,44
37.0,4.5,Windy,Low,2,scooter,0.0,No,Metropolitian,26
37.0,4.7,Windy,Low,1,scooter,1.0,No,Metropolitian,26
33.0,5.0,Windy,High,1,motorcycle,1.0,No,Metropolitian,31
24.0,4.6,Stormy,Low,2,scooter,1.0,No,Urban,19
33.0,4.5,Sunny,Jam,1,scooter,0.0,No,Metropolitian,18
39.0,4.7,Fog,Medium,2,motorcycle,1.0,No,Metropolitian,38
37.0,4.6,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,32
25.0,4.9,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,17
28.0,4.8,Fog,Medium,1,scooter,1.0,No,Urban,11
38.0,4.7,Windy,High,2,motorcycle,1.0,No,Metropolitian,31
,,Sandstorms,Medium,0,motorcycle,0.0,No,Metropolitian,43
31.0,4.6,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,25
25.0,4.8,Cloudy,Jam,2,motorcycle,1.0,No,Metropolitian,22
35.0,4.9,Fog,Jam,0,motorcycle,3.0,No,Metropolitian,43
39.0,4.7,Fog,Jam,0,motorcycle,1.0,Yes,Metropolitian,42
38.0,3.9,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,42
35.0,4.7,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,34
29.0,4.7,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,17
27.0,4.6,Stormy,Jam,1,scooter,0.0,No,Metropolitian,25
38.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,Yes,Semi-Urban,54
36.0,4.9,Windy,Low,2,motorcycle,0.0,No,Metropolitian,21
26.0,4.0,Cloudy,High,1,motorcycle,,No,Metropolitian,34
26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36
36.0,4.9,Sunny,Medium,1,motorcycle,0.0,No,Metropolitian,17
21.0,4.7,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,16
35.0,4.7,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,27
20.0,4.5,Fog,High,2,motorcycle,1.0,No,Metropolitian,26
23.0,4.6,Fog,Jam,0,motorcycle,2.0,Yes,Metropolitian,46
37.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,29
26.0,4.8,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,23
29.0,5.0,Sandstorms,Low,1,scooter,,No,Urban,11
26.0,4.9,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,28
29.0,4.8,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,25
29.0,4.7,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,11
21.0,4.9,Windy,Medium,1,scooter,1.0,No,Metropolitian,26
22.0,4.3,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23
31.0,4.0,Fog,Medium,1,motorcycle,2.0,No,Metropolitian,39
20.0,4.5,Fog,Low,1,motorcycle,0.0,No,,11
30.0,3.9,Stormy,Jam,2,electric_scooter,,No,Metropolitian,32
36.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,43
24.0,4.7,Fog,Medium,1,scooter,,No,Metropolitian,13
32.0,4.7,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,25
25.0,5.0,Windy,Medium,1,motorcycle,0.0,No,Metropolitian,27
27.0,4.5,Windy,Medium,2,scooter,1.0,No,Metropolitian,29
32.0,4.1,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,33
23.0,4.7,Fog,Medium,1,motorcycle,1.0,No,Urban,19
39.0,4.4,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,33
20.0,4.8,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,28
20.0,4.8,Windy,Medium,2,electric_scooter,0.0,No,,15
29.0,4.6,Stormy,Jam,1,scooter,1.0,No,Metropolitian,29
26.0,4.9,Stormy,Low,2,scooter,1.0,No,Metropolitian,18
25.0,5.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,14
34.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,30
31.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,28
24.0,4.7,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,39
30.0,4.9,Cloudy,Medium,2,motorcycle,0.0,No,Metropolitian,30
36.0,4.8,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,36
36.0,4.4,Fog,Low,0,motorcycle,,No,Metropolitian,37
26.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43
30.0,4.6,Sunny,Low,2,scooter,1.0,No,,29
20.0,4.8,Stormy,Medium,2,scooter,1.0,No,Metropolitian,25
33.0,4.7,Fog,Medium,2,electric_scooter,1.0,No,Urban,15
,,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,24
34.0,4.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,39
36.0,4.6,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20
33.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,15
22.0,4.8,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,16
38.0,4.7,Sunny,Low,2,scooter,1.0,No,Metropolitian,19
27.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,20
32.0,4.8,Sunny,Jam,2,scooter,1.0,No,Metropolitian,25
26.0,4.8,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43
29.0,4.5,Windy,Low,0,motorcycle,0.0,No,Urban,15
31.0,4.5,Sunny,Jam,0,motorcycle,0.0,No,Urban,29
28.0,4.6,Stormy,High,2,motorcycle,0.0,No,Metropolitian,14
21.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,11
21.0,4.0,Sandstorms,Low,0,motorcycle,,No,Metropolitian,19
30.0,4.9,Windy,Low,1,motorcycle,1.0,No,Metropolitian,29
29.0,4.7,Cloudy,Medium,2,motorcycle,1.0,No,Urban,11
20.0,4.8,Sunny,High,1,motorcycle,0.0,No,Metropolitian,14
28.0,5.0,Windy,Low,0,motorcycle,0.0,No,Urban,15
25.0,4.7,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,16
,,,,3,motorcycle,1.0,Yes,Urban,43
38.0,4.8,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,20
39.0,4.9,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,26
26.0,4.9,Windy,Medium,1,scooter,0.0,No,Metropolitian,26
33.0,4.4,Windy,Jam,1,motorcycle,0.0,No,Urban,43
24.0,4.6,Sandstorms,Medium,0,motorcycle,1.0,No,Urban,25
24.0,4.9,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,28
33.0,4.5,Stormy,Low,2,scooter,0.0,No,Metropolitian,17
35.0,4.2,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,44
27.0,4.2,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,33
,,Cloudy,Medium,1,scooter,1.0,No,Urban,19
29.0,4.5,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,15
34.0,4.7,Fog,Low,1,scooter,1.0,No,Metropolitian,27
20.0,4.7,Cloudy,High,2,scooter,1.0,No,Metropolitian,25
29.0,4.8,Sunny,High,1,motorcycle,1.0,No,Metropolitian,18
22.0,4.9,Stormy,Medium,2,scooter,0.0,No,Metropolitian,21
35.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,53
32.0,4.4,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,42
28.0,4.9,Sunny,Jam,2,motorcycle,1.0,No,Metropolitian,20
30.0,4.7,Fog,Low,1,scooter,0.0,No,Metropolitian,29
22.0,4.7,Stormy,Jam,2,scooter,0.0,No,Urban,15
36.0,4.7,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,30
23.0,4.8,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,28
22.0,4.8,Stormy,Low,2,motorcycle,1.0,No,,19
29.0,4.5,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,15
34.0,4.9,Sandstorms,Jam,0,motorcycle,3.0,Yes,Urban,50
38.0,4.1,Stormy,High,0,motorcycle,1.0,Yes,Metropolitian,41
35.0,5.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,37
38.0,4.7,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,28
32.0,4.3,Cloudy,Medium,1,scooter,2.0,No,Metropolitian,35
20.0,4.5,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,27
25.0,4.9,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,43
29.0,4.5,Fog,Low,2,scooter,0.0,No,,12
32.0,4.7,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,31
39.0,4.1,Cloudy,Jam,1,motorcycle,2.0,No,Metropolitian,39
31.0,4.4,Stormy,Jam,0,motorcycle,1.0,No,Urban,47
37.0,4.5,Fog,Low,0,motorcycle,1.0,No,Urban,26
36.0,4.9,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,31
37.0,3.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,42
,,Stormy,Jam,2,scooter,0.0,No,Urban,12
38.0,4.9,Cloudy,High,2,scooter,,No,Metropolitian,25
37.0,4.4,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,39
21.0,4.9,Fog,Low,2,scooter,1.0,No,,21
35.0,4.9,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,18
22.0,4.8,Sandstorms,Jam,1,scooter,1.0,No,Urban,22
28.0,4.8,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
39.0,4.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,48
29.0,4.5,Windy,Low,1,scooter,0.0,No,Urban,13
39.0,4.6,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,32
25.0,4.9,Sandstorms,Jam,2,electric_scooter,0.0,No,Urban,16
34.0,5.0,Cloudy,Medium,2,electric_scooter,0.0,No,Urban,19
22.0,4.8,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,18
27.0,5.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,27
28.0,4.5,Sunny,Medium,0,motorcycle,1.0,No,Urban,25
32.0,5.0,Stormy,Medium,2,scooter,1.0,No,Metropolitian,31
,,Fog,Jam,2,scooter,1.0,No,Metropolitian,39
27.0,4.6,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,20
35.0,3.9,Windy,Jam,1,motorcycle,2.0,No,Metropolitian,38
22.0,4.6,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19
35.0,4.7,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,17
30.0,4.6,Cloudy,Low,0,motorcycle,0.0,No,Urban,24
39.0,4.8,Fog,High,2,scooter,1.0,No,Urban,26
33.0,4.8,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,28
20.0,4.7,Sandstorms,Medium,2,scooter,1.0,No,Urban,16
20.0,4.7,Fog,Medium,2,motorcycle,0.0,No,Urban,17
34.0,4.2,Windy,Low,0,motorcycle,0.0,No,Urban,24
22.0,4.7,Windy,Medium,0,motorcycle,,No,Metropolitian,24
37.0,4.3,Stormy,High,2,scooter,1.0,No,Metropolitian,34
20.0,4.8,Cloudy,Low,1,motorcycle,1.0,No,Urban,16
33.0,4.9,Windy,Low,1,motorcycle,1.0,No,Metropolitian,26
21.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,25
33.0,4.6,Fog,Medium,0,motorcycle,2.0,No,Metropolitian,49
24.0,4.6,Windy,Medium,2,electric_scooter,0.0,No,Urban,24
36.0,4.7,Sandstorms,High,2,scooter,2.0,No,Metropolitian,32
30.0,4.6,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,26
32.0,4.9,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,24
28.0,4.6,Stormy,Jam,2,electric_scooter,0.0,No,Metropolitian,16
21.0,4.7,Windy,Jam,2,scooter,1.0,No,Metropolitian,27
39.0,4.9,Fog,High,0,motorcycle,1.0,No,Metropolitian,25
32.0,4.7,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,26
20.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Urban,25
,,Fog,Low,0,motorcycle,1.0,No,Metropolitian,26
36.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,15
28.0,4.8,Sunny,Low,1,scooter,1.0,No,Urban,18
32.0,4.5,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,30
39.0,4.4,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,46
30.0,4.7,Windy,Low,0,motorcycle,1.0,No,Metropolitian,24
32.0,4.4,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,37
23.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,27
21.0,4.8,Windy,Medium,2,scooter,1.0,No,,27
31.0,4.2,Windy,Medium,2,electric_scooter,1.0,No,Metropolitian,32
37.0,4.6,Stormy,High,2,electric_scooter,1.0,No,Urban,28
20.0,4.5,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,29
28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,27
22.0,4.9,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,11
20.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Urban,13
34.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,27
38.0,4.8,Windy,High,1,scooter,1.0,No,Metropolitian,25
,,,,3,scooter,1.0,No,Metropolitian,26
32.0,4.5,Cloudy,High,2,motorcycle,1.0,No,Metropolitian,27
34.0,4.9,Sunny,Low,2,scooter,1.0,No,Metropolitian,26
33.0,3.9,Windy,Medium,2,electric_scooter,1.0,No,Metropolitian,32
34.0,4.5,Windy,Low,1,motorcycle,1.0,No,Metropolitian,25
32.0,4.6,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,32
,,Sunny,Low,1,scooter,2.0,Yes,Metropolitian,42
34.0,4.7,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,29
26.0,4.6,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,32
31.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,35
39.0,4.8,Sunny,High,0,motorcycle,1.0,No,Metropolitian,27
27.0,4.8,Sunny,Low,1,motorcycle,0.0,No,Metropolitian,15
32.0,5.0,Cloudy,Jam,2,scooter,1.0,No,Urban,27
32.0,4.5,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,30
39.0,4.1,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,32
36.0,4.8,Stormy,Low,2,electric_scooter,0.0,No,Metropolitian,25
37.0,4.1,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,38
37.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,26
38.0,3.7,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,31
28.0,4.7,Stormy,High,2,scooter,1.0,No,Metropolitian,28
34.0,3.8,Stormy,Medium,1,scooter,0.0,No,Metropolitian,31
32.0,4.9,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,29
22.0,4.7,Windy,Low,1,motorcycle,0.0,No,Urban,17
31.0,4.0,Windy,Medium,0,motorcycle,3.0,Yes,Metropolitian,45
27.0,4.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,34
29.0,4.9,Windy,Jam,1,scooter,0.0,No,Metropolitian,24
